Country,Longitude,Longitude,Reported number of people receiving ART,Estimated number of people living with HIV,Estimated ART coverage among people living with HIV (%),Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region
South Africa,-28.8166236,24.991639,4788000,7700000[7100000–8300000],62[57–66],7700000,7100000,8300000,62,57,66,Africa
Mozambique,-19.302233,34.9144977,1213000,2200000[1700000–2700000],56[44–68],2200000,1700000,2700000,56,44,68,Africa
Nigeria,9.6000359,7.9999721,1016000,1900000[1400000–2600000],53[40–71],1900000,1400000,2600000,53,40,71,Africa
Kenya,1.4419683,38.4313975,1068000,1600000[1300000–1900000],68[58–82],1600000,1300000,1900000,68,58,82,Africa
United Republic of Tanzania,-6.5247123,35.7878438,1109000,1600000[1400000–1700000],71[64–78],1600000,1400000,1700000,71,64,78,Africa
Uganda,1.5333554,32.2166578,1004000,1400000[1300000–1500000],72[68–78],1400000,1300000,1500000,72,68,78,Africa
Zimbabwe,-18.4554963,29.7468414,1151000,1300000[1100000–1500000],88[77–95],1300000,1100000,1500000,88,77,95,Africa
Zambia,-14.5189121,27.5589884,965000,1200000[1100000–1400000],78[69–88],1200000,1100000,1400000,78,69,88,Africa
Brazil,-10.3333333,-53.2,593000,900000[690000–1100000],66[51–82],900000,690000,1100000,66,51,82,Americas
Malawi,-13.2687204,33.9301963,814000,1000000[940000–1100000],78[70–84],1000000,940000,1100000,78,70,84,Africa
Ethiopia,10.2116702,38.6521203,450000,690000[530000–900000],65[50–85],690000,530000,900000,65,50,85,Africa
Indonesia,-2.4833826,117.8902853,108000,640000[550000–750000],17[15–20],640000,550000,750000,17,15,20,South-East Asia
Cameroon,4.6125522,13.1535811,281000,540000[470000–590000],52[46–57],540000,470000,590000,52,46,57,Africa
Côte d'Ivoire,7.9897371,-5.5679458,252000,460000[360000–580000],55[44–70],460000,360000,580000,55,44,70,Africa
Thailand,14.8971921,100.83273,359000,480000[420000–550000],75[66–86],480000,420000,550000,75,66,86,South-East Asia
Democratic Republic of the Congo,-2.9814344,23.8222636,256000,450000[370000–530000],57[47–67],450000,370000,530000,57,47,67,Africa
Botswana,-23.1681782,24.5928742,307000,370000[330000–400000],83[75–90],370000,330000,400000,83,75,90,Africa
Angola,-11.8775768,17.5691241,88700,330000[290000–390000],27[23–31],330000,290000,390000,27,23,31,Africa
Ghana,8.0300284,-1.0800271,113000,330000[280000–390000],34[28–39],330000,280000,390000,34,28,39,Africa
Lesotho,-29.6039267,28.3350193,206000,340000[320000–360000],61[57–65],340000,320000,360000,61,57,65,Africa
Mexico,19.4326296,-99.1331785,165000,230000[200000–270000],70[60–80],230000,200000,270000,70,60,80,Americas
Myanmar,17.1750495,95.9999652,167000,240000[210000–270000],70[63–79],240000,210000,270000,70,63,79,South-East Asia
Ukraine,49.4871968,31.2718321,124000,240000[220000–260000],52[48–56],240000,220000,260000,52,48,56,Europe
Viet Nam,15.9266657,107.9650855,150000,230000[200000–260000],65[57–73],230000,200000,260000,65,57,73,Western Pacific
Rwanda,-1.9646631,30.0644358,194000,220000[200000–250000],87[76–95],220000,200000,250000,87,76,95,Africa
South Sudan,7.8699431,29.6667897,30700,190000[140000–240000],16[12–20],190000,140000,240000,16,12,20,Africa
Eswatini,-26.5624806,31.3991317,177000,210000[190000–220000],86[80–94],210000,190000,220000,86,80,94,Africa
Namibia,-23.2335499,17.3231107,184000,200000[190000–220000],92[84–95],200000,190000,220000,92,84,95,Africa
France,46.603354,1.8883335,148000,180000[150000–210000],83[69–95],180000,150000,210000,83,69,95,Europe
Mali,16.3700359,-2.2900239,47100,150000[120000–190000],31[25–39],150000,120000,190000,31,25,39,Africa
Pakistan,30.3308401,71.247499,15800,160000[140000–190000],10[9–11],160000,140000,190000,10,9,11,Eastern Mediterranean
Colombia,4.099917,-72.9088133,113000,160000[130000–180000],73[60–86],160000,130000,180000,73,60,86,Americas
Haiti,19.1399952,-72.3570972,91500,160000[140000–180000],58[52–65],160000,140000,180000,58,52,65,Americas
Spain,39.3260685,-4.8379791,125000,150000[130000–170000],84[73–94],150000,130000,170000,84,73,94,Europe
Argentina,-34.9964963,-64.9672817,85500,140000[130000–150000],61[55–67],140000,130000,150000,61,55,67,Americas
Chad,15.6134137,19.0156172,61400,120000[94000–150000],51[40–63],120000,94000,150000,51,40,63,Africa
Central African Republic,7.0323598,19.9981227,39600,110000[90000–140000],36[30–45],110000,90000,140000,36,30,45,Africa
Guinea,10.7226226,-10.7083587,48600,120000[100000–140000],40[34–48],120000,100000,140000,40,34,48,Africa
Italy,42.6384261,12.674297,118000,130000[110000–140000],91[78–95],130000,110000,140000,91,78,95,Europe
Venezuela (Bolivarian Republic of),,,Nodata,120000[100000–130000],Nodata,120000,100000,130000,,,,Americas
Benin,9.5293472,2.2584408,44200,73000[48000–120000],61[40–95],73000,48000,120000,61,40,95,Africa
Burkina Faso,12.0753083,-1.6880314,59300,96000[78000–120000],62[50–75],96000,78000,120000,62,50,75,Africa
Congo,-2.9814344,23.8222636,31200,89000[69000–120000],35[27–46],89000,69000,120000,35,27,46,Americas
Iran (Islamic Republic of),,,12400,61000[34000–120000],20[11–39],61000,34000,120000,20,11,39,Eastern Mediterranean
Togo,8.7800265,1.0199765,64800,110000[100000–120000],60[56–65],110000,100000,120000,60,56,65,Africa
Peru,-6.8699697,-75.0458515,57800,79000[58000–110000],73[54–95],79000,58000,110000,73,54,95,Americas
Sudan,34.0678644,-102.524362,9000,59000[26000–110000],15[7–28],59000,26000,110000,15,7,28,Eastern Mediterranean
Germany,51.1638175,10.4478313,69900,87000[71000–100000],80[65–93],87000,71000,100000,80,65,93,Europe
Malaysia,4.5693754,102.2656823,41500,87000[77000–98000],48[42–53],87000,77000,98000,48,42,53,Western Pacific
Burundi,-3.426449,29.9324519,65500,82000[71000–97000],80[69–94],82000,71000,97000,80,69,94,Africa
Dominican Republic,19.0974031,-70.3028026,39000,70000[54000–92000],56[43–73],70000,54000,92000,56,43,73,Americas
Philippines,12.7503486,122.7312101,33600,77000[65000–90000],44[37–51],77000,65000,90000,44,37,51,Western Pacific
Sierra Leone,8.6400349,-11.8400269,28400,70000[56000–86000],41[33–50],70000,56000,86000,41,33,50,Africa
Cambodia,12.5433216,104.8144914,59500,73000[64000–84000],81[71–93],73000,64000,84000,81,71,93,Western Pacific
Equatorial Guinea,1.613172,10.5170357,21400,62000[50000–81000],34[27–44],62000,50000,81000,34,27,44,Africa
Chile,-31.7613365,-71.3187697,45100,71000[63000–78000],63[56–70],71000,63000,78000,63,56,70,Americas
Ecuador,-1.3397668,-79.3666965,25100,44000[29000–71000],57[38–93],44000,29000,71000,57,38,93,Americas
Gabon,-0.8999695,11.6899699,35600,53000[43000–67000],67[54–85],53000,43000,67000,67,54,85,Africa
Uzbekistan,41.32373,63.9528098,26700,52000[48000–56000],51[47–55],52000,48000,56000,51,47,55,Europe
Madagascar,-18.9249604,46.4416422,3500,39000[30000–55000],9[7–13],39000,30000,55000,9,7,13,Africa
Guatemala,15.5855545,-90.345759,20200,47000[43000–51000],43[40–47],47000,43000,51000,43,40,47,Americas
Papua New Guinea,-5.6816069,144.2489081,29400,45000[41000–50000],65[58–71],45000,41000,50000,65,58,71,Western Pacific
Guinea-Bissau,11.815215,-15.2351044,14600,44000[39000–49000],33[29–37],44000,39000,49000,33,29,37,Africa
