Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Afghanistan,2018,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Afghanistan,2010,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Afghanistan,2005,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Afghanistan,2000,0.1[0.1–0.1],0.1,0.1,0.1,Eastern Mediterranean
Algeria,2018,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Algeria,2010,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Algeria,2005,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Algeria,2000,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Angola,2018,2.0[1.7–2.3],2,1.7,2.3,Africa
Angola,2010,1.7[1.5–2.0],1.7,1.5,2,Africa
Angola,2005,1.4[1.2–1.7],1.4,1.2,1.7,Africa
Angola,2000,1.0[0.8–1.2],1,0.8,1.2,Africa
Argentina,2018,0.4[0.4–0.4],0.4,0.4,0.4,Americas
Argentina,2010,0.4[0.3–0.4],0.4,0.3,0.4,Americas
Argentina,2005,0.3[0.3–0.4],0.3,0.3,0.4,Americas
Argentina,2000,0.3[0.3–0.3],0.3,0.3,0.3,Americas
Armenia,2018,0.2[0.1–0.2],0.2,0.1,0.2,Europe
Armenia,2010,0.2[0.1–0.2],0.2,0.1,0.2,Europe
Armenia,2005,0.1[0.1–0.2],0.1,0.1,0.2,Europe
Armenia,2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Australia,2018,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Australia,2010,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Australia,2005,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Australia,2000,0.1[0.1–0.1],0.1,0.1,0.1,Western Pacific
Bahamas,2000,2.6[2.2–3.1],2.6,2.2,3.1,Americas
Bahamas,2005,2.3[1.9–2.7],2.3,1.9,2.7,Americas
Bahamas,2010,2.2[1.9–2.5],2.2,1.9,2.5,Americas
Bahamas,2018,1.8[1.5–1.9],1.8,1.5,1.9,Americas
Bangladesh,2018,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Bangladesh,2010,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Bangladesh,2005,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Bangladesh,2000,0.1[0.1–0.1],0.1,0.1,0.1,South-East Asia
Barbados,2018,1.5[1.3–1.7],1.5,1.3,1.7,Americas
Barbados,2010,1.3[1.2–1.4],1.3,1.2,1.4,Americas
Barbados,2005,1.0[0.9–1.1],1,0.9,1.1,Americas
Barbados,2000,0.7[0.6–0.8],0.7,0.6,0.8,Americas
Belarus,2018,0.5[0.4–0.6],0.5,0.4,0.6,Europe
Belarus,2010,0.2[0.2–0.3],0.2,0.2,0.3,Europe
Belarus,2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Belarus,2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Belize,2018,1.9[1.7–2.1],1.9,1.7,2.1,Americas
Belize,2010,1.9[1.7–2.1],1.9,1.7,2.1,Americas
Belize,2005,1.7[1.5–1.9],1.7,1.5,1.9,Americas
Belize,2000,1.3[1.2–1.4],1.3,1.2,1.4,Americas
Benin,2000,1.3[0.9–2.2],1.3,0.9,2.2,Africa
Benin,2005,1.3[0.8–2.1],1.3,0.8,2.1,Africa
Benin,2010,1.1[0.7–1.8],1.1,0.7,1.8,Africa
Benin,2018,1.0[0.7–1.7],1,0.7,1.7,Africa
Bhutan,2010,0.3[0.1–0.6],0.3,0.1,0.6,South-East Asia
Bhutan,2005,0.3[0.1–0.6],0.3,0.1,0.6,South-East Asia
Bhutan,2018,0.3[0.1–0.5],0.3,0.1,0.5,South-East Asia
Bhutan,2000,0.2[0.1–0.3],0.2,0.1,0.3,South-East Asia
Bolivia (Plurinational State of),2005,0.5[0.5–0.5],0.5,0.5,0.5,Americas
Bolivia (Plurinational State of),2000,0.5[0.5–0.5],0.5,0.5,0.5,Americas
Bolivia (Plurinational State of),2010,0.4[0.3–0.4],0.4,0.3,0.4,Americas
Bolivia (Plurinational State of),2018,0.3[0.3–0.3],0.3,0.3,0.3,Americas
Bosnia and Herzegovina,2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Bosnia and Herzegovina,2010,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Bosnia and Herzegovina,2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Bosnia and Herzegovina,2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Botswana,2000,26.3[25.1–27.2],26.3,25.1,27.2,Africa
Botswana,2005,24.6[22.1–25.9],24.6,22.1,25.9,Africa
Botswana,2010,23.2[20.9–24.8],23.2,20.9,24.8,Africa
Botswana,2018,20.3[17.3–21.8],20.3,17.3,21.8,Africa
Brazil,2018,0.5[0.4–0.7],0.5,0.4,0.7,Americas
Brazil,2010,0.5[0.4–0.6],0.5,0.4,0.6,Americas
Brazil,2005,0.5[0.3–0.6],0.5,0.3,0.6,Americas
Brazil,2000,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Bulgaria,2018,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Bulgaria,2010,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Bulgaria,2005,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Bulgaria,2000,0.1[0.1–0.1],0.1,0.1,0.1,Europe
Burkina Faso,2000,2.1[1.7–2.6],2.1,1.7,2.6,Africa
Burkina Faso,2005,1.5[1.1–1.8],1.5,1.1,1.8,Africa
Burkina Faso,2010,1.2[0.9–1.4],1.2,0.9,1.4,Africa
Burkina Faso,2018,0.7[0.6–0.9],0.7,0.6,0.9,Africa
Burundi,2000,3.3[2.8–4.0],3.3,2.8,4,Africa
Burundi,2005,2.2[1.7–2.6],2.2,1.7,2.6,Africa
Burundi,2010,1.6[1.3–1.8],1.6,1.3,1.8,Africa
Burundi,2018,1.0[0.9–1.2],1,0.9,1.2,Africa
Cabo Verde,2000,0.7[0.5–1.1],0.7,0.5,1.1,Africa
Cabo Verde,2005,0.6[0.5–1.0],0.6,0.5,1,Africa
Cabo Verde,2010,0.6[0.5–0.8],0.6,0.5,0.8,Africa
Cabo Verde,2018,0.6[0.5–0.7],0.6,0.5,0.7,Africa
Cambodia,2000,1.2[1.1–1.4],1.2,1.1,1.4,Western Pacific
Cambodia,2005,1.0[0.8–1.2],1,0.8,1.2,Western Pacific
Cambodia,2010,0.8[0.7–1.0],0.8,0.7,1,Western Pacific
Cambodia,2018,0.5[0.5–0.6],0.5,0.5,0.6,Western Pacific
Cameroon,2005,4.8[4.3–5.1],4.8,4.3,5.1,Africa
Cameroon,2000,4.6[4.3–4.9],4.6,4.3,4.9,Africa
Cameroon,2010,4.5[3.9–4.9],4.5,3.9,4.9,Africa
Cameroon,2018,3.6[3.1–4.0],3.6,3.1,4,Africa
Central African Republic,2000,7.2[6.1–8.6],7.2,6.1,8.6,Africa
Central African Republic,2005,5.9[4.9–7.0],5.9,4.9,7,Africa
Central African Republic,2010,5.0[4.2–5.9],5,4.2,5.9,Africa
Central African Republic,2018,3.6[2.9–4.5],3.6,2.9,4.5,Africa
Chad,2000,1.8[1.3–2.3],1.8,1.3,2.3,Africa
Chad,2005,1.5[1.2–2.0],1.5,1.2,2,Africa
Chad,2010,1.5[1.2–1.8],1.5,1.2,1.8,Africa
Chad,2018,1.3[1.0–1.7],1.3,1,1.7,Africa
Chile,2018,0.5[0.5–0.6],0.5,0.5,0.6,Americas
Chile,2010,0.4[0.3–0.4],0.4,0.3,0.4,Americas
Chile,2005,0.2[0.2–0.3],0.2,0.2,0.3,Americas
Chile,2000,0.2[0.1–0.2],0.2,0.1,0.2,Americas
Colombia,2000,0.4[0.4–0.5],0.4,0.4,0.5,Americas
Colombia,2018,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Colombia,2010,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Colombia,2005,0.4[0.3–0.5],0.4,0.3,0.5,Americas
Comoros,2018,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Comoros,2010,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Comoros,2005,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Comoros,2000,0.1[0.1–0.1],0.1,0.1,0.1,Africa
Congo,2000,4.2[3.4–5.1],4.2,3.4,5.1,Americas
Congo,2005,3.5[2.8–4.1],3.5,2.8,4.1,Americas
Congo,2010,3.1[2.6–3.7],3.1,2.6,3.7,Americas
