Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Afghanistan,2000,1600[1000–3500],1600,1000,3500,Eastern Mediterranean
Afghanistan,2005,2900[1700–5000],2900,1700,5000,Eastern Mediterranean
Afghanistan,2010,4200[2500–6200],4200,2500,6200,Eastern Mediterranean
Afghanistan,2018,7200[4100–11000],7200,4100,11000,Eastern Mediterranean
Algeria,2000,1900[1700–2000],1900,1700,2000,Africa
Algeria,2005,3700[3500–4000],3700,3500,4000,Africa
Algeria,2010,7100[6600–7600],7100,6600,7600,Africa
Algeria,2018,16000[15000–17000],16000,15000,17000,Africa
Angola,2000,87000[72000–110000],87000,72000,110000,Africa
Angola,2005,150000[120000–170000],150000,120000,170000,Africa
Angola,2010,220000[180000–250000],220000,180000,250000,Africa
Angola,2018,330000[290000–390000],330000,290000,390000,Africa
Argentina,2000,64000[55000–71000],64000,55000,71000,Americas
Argentina,2005,85000[76000–94000],85000,76000,94000,Americas
Argentina,2010,110000[96000–120000],110000,96000,120000,Americas
Argentina,2018,140000[130000–150000],140000,130000,150000,Americas
Armenia,2000,950[580–1600],950,580,1600,Europe
Armenia,2005,2700[2000–3500],2700,2000,3500,Europe
Armenia,2010,3300[2800–4100],3300,2800,4100,Europe
Armenia,2018,3500[3000–4400],3500,3000,4400,Europe
Australia,2000,13000[11000–15000],13000,11000,15000,Western Pacific
Australia,2005,16000[14000–19000],16000,14000,19000,Western Pacific
Australia,2010,21000[17000–23000],21000,17000,23000,Western Pacific
Australia,2018,28000[23000–31000],28000,23000,31000,Western Pacific
Bahamas,2000,5100[4400–5900],5100,4400,5900,Americas
Bahamas,2005,5100[4400–6000],5100,4400,6000,Americas
Bahamas,2010,5800[5100–6600],5800,5100,6600,Americas
Bahamas,2018,6000[5300–6700],6000,5300,6700,Americas
Bangladesh,2000,940[800–1100],940,800,1100,South-East Asia
Bangladesh,2005,4000[3500–4600],4000,3500,4600,South-East Asia
Bangladesh,2010,7700[6600–8800],7700,6600,8800,South-East Asia
Bangladesh,2018,14000[12000–16000],14000,12000,16000,South-East Asia
Barbados,2000,1100[1000–1300],1100,1000,1300,Americas
Barbados,2005,1700[1500–1900],1700,1500,1900,Americas
Barbados,2010,2300[2100–2600],2300,2100,2600,Americas
Barbados,2018,3000[2700–3400],3000,2700,3400,Americas
Belarus,2000,1400[1100–1900],1400,1100,1900,Europe
Belarus,2005,5400[4500–6700],5400,4500,6700,Europe
Belarus,2010,12000[10000–15000],12000,10000,15000,Europe
Belarus,2018,27000[22000–34000],27000,22000,34000,Europe
Belize,2000,1700[1600–1800],1700,1600,1800,Americas
Belize,2005,2800[2600–3100],2800,2600,3100,Americas
Belize,2010,3700[3400–4100],3700,3400,4100,Americas
Belize,2018,4900[4400–5400],4900,4400,5400,Americas
Benin,2000,47000[31000–75000],47000,31000,75000,Africa
Benin,2005,56000[37000–90000],56000,37000,90000,Africa
Benin,2010,61000[41000–98000],61000,41000,98000,Africa
Benin,2018,73000[48000–120000],73000,48000,120000,Africa
Bhutan,2000,530[200–970],530,200,970,South-East Asia
Bhutan,2005,1100[500–2000],1100,500,2000,South-East Asia
Bhutan,2010,1300[590–2700],1300,590,2700,South-East Asia
Bhutan,2018,1300[700–2700],1300,700,2700,South-East Asia
Bolivia (Plurinational State of),2000,21000[20000–23000],21000,20000,23000,Americas
Bolivia (Plurinational State of),2005,26000[24000–28000],26000,24000,28000,Americas
Bolivia (Plurinational State of),2010,23000[20000–25000],23000,20000,25000,Americas
Bolivia (Plurinational State of),2018,22000[20000–24000],22000,20000,24000,Americas
Bosnia and Herzegovina,2000,100[100–100],100,100,100,Europe
Bosnia and Herzegovina,2005,200[100–200],200,100,200,Europe
Bosnia and Herzegovina,2010,200[200–200],200,200,200,Europe
Bosnia and Herzegovina,2018,500[500–500],500,500,500,Europe
Botswana,2000,280000[270000–300000],280000,270000,300000,Africa
Botswana,2005,310000[280000–330000],310000,280000,330000,Africa
Botswana,2010,340000[300000–360000],340000,300000,360000,Africa
Botswana,2018,370000[330000–400000],370000,330000,400000,Africa
Brazil,2000,410000[320000–510000],410000,320000,510000,Americas
Brazil,2005,550000[420000–680000],550000,420000,680000,Americas
Brazil,2010,670000[520000–830000],670000,520000,830000,Americas
Brazil,2018,900000[690000–1100000],900000,690000,1100000,Americas
Bulgaria,2000,500[500–500],500,500,500,Europe
Bulgaria,2005,980[910–1100],980,910,1100,Europe
Bulgaria,2010,1700[1600–1900],1700,1600,1900,Europe
Bulgaria,2018,3500[3000–4100],3500,3000,4100,Europe
Burkina Faso,2000,140000[110000–170000],140000,110000,170000,Africa
Burkina Faso,2005,120000[95000–140000],120000,95000,140000,Africa
Burkina Faso,2010,110000[88000–130000],110000,88000,130000,Africa
Burkina Faso,2018,96000[78000–120000],96000,78000,120000,Africa
Burundi,2000,130000[110000–150000],130000,110000,150000,Africa
Burundi,2005,110000[88000–120000],110000,88000,120000,Africa
Burundi,2010,93000[79000–110000],93000,79000,110000,Africa
Burundi,2018,82000[71000–97000],82000,71000,97000,Africa
Cabo Verde,2000,1600[1200–2500],1600,1200,2500,Africa
Cabo Verde,2005,1800[1400–2700],1800,1400,2700,Africa
Cabo Verde,2010,2100[1700–2600],2100,1700,2600,Africa
Cabo Verde,2018,2400[2100–2900],2400,2100,2900,Africa
Cambodia,2000,81000[73000–91000],81000,73000,91000,Western Pacific
Cambodia,2005,82000[70000–97000],82000,70000,97000,Western Pacific
Cambodia,2010,79000[68000–93000],79000,68000,93000,Western Pacific
