Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
South Sudan,2018,9900[6900–13000],9900,6900,13000,Africa
South Sudan,2010,9800[7300–13000],9800,7300,13000,Africa
Gambia,2018,980[650–1400],980,650,1400,Africa
Gambia,2010,970[660–1400],970,660,1400,Africa
Portugal,2010,930[730–1200],930,730,1200,Europe
Nepal,2018,910[700–1200],910,700,1200,South-East Asia
France,2000,880[720–1000],880,720,1000,Europe
Germany,2000,880[690–1100],880,690,1100,Europe
Uganda,2000,85000[75000–99000],85000,75000,99000,Africa
Viet Nam,2010,8500[6400–9800],8500,6400,9800,Western Pacific
Uzbekistan,2000,840[740–920],840,740,920,Europe
Italy,2010,830[620–1100],830,620,1100,Europe
El Salvador,2000,810[580–1000],810,580,1000,Americas
Somalia,2000,810[560–1100],810,560,1100,Eastern Mediterranean
United Republic of Tanzania,2000,80000[69000–90000],80000,69000,90000,Africa
Paraguay,2010,790[540–1200],790,540,1200,Americas
Nigeria,2000,78000[45000–130000],78000,45000,130000,Africa
Central African Republic,2010,7800[6400–9400],7800,6400,9400,Africa
Myanmar,2018,7800[5900–11000],7800,5900,11000,South-East Asia
Honduras,2018,780[540–1100],780,540,1100,Americas
Mali,2000,7700[5600–9800],7700,5600,9800,Africa
Republic of Moldova,2010,740[510–1100],740,510,1100,Europe
Botswana,2010,7300[6500–8000],7300,6500,8000,Africa
Namibia,2000,7300[5700–9100],7300,5700,9100,Africa
Nigeria,2010,72000[42000–120000],72000,42000,120000,Africa
Lesotho,2010,7200[5600–10000],7200,5600,10000,Africa
Paraguay,2018,720[500–1200],720,500,1200,Americas
South Africa,2018,71000[52000–91000],71000,52000,91000,Africa
Somalia,2018,710[530–1000],710,530,1000,Eastern Mediterranean
Italy,2018,710[510–930],710,510,930,Europe
El Salvador,2018,700[500–1000],700,500,1000,Americas
Equatorial Guinea,2000,680[500–1000],680,500,1000,Africa
Bolivia (Plurinational State of),2018,670[550–760],670,550,760,Americas
Bolivia (Plurinational State of),2000,670[500–830],670,500,830,Americas
Mali,2018,6500[5000–8700],6500,5000,8700,Africa
Sudan,2000,650[500–1700],650,500,1700,Eastern Mediterranean
Mozambique,2010,64000[46000–87000],64000,46000,87000,Africa
Pakistan,2018,6400[5200–7600],6400,5200,7600,Eastern Mediterranean
Djibouti,2010,630[500–780],630,500,780,Eastern Mediterranean
Zambia,2000,62000[49000–81000],62000,49000,81000,Africa
Eritrea,2010,620[500–980],620,500,980,Africa
Ecuador,2018,620[500–1500],620,500,1500,Americas
Lesotho,2018,6100[5000–7600],6100,5000,7600,Africa
Ukraine,2018,6100[4700–8000],6100,4700,8000,Europe
Congo,2000,6100[4700–7800],6100,4700,7800,Americas
Viet Nam,2000,6100[4300–7800],6100,4300,7800,Western Pacific
Mauritius,2018,610[500–820],610,500,820,Africa
France,2010,600[500–780],600,500,780,Europe
Chile,2018,590[500–770],590,500,770,Americas
Ethiopia,2000,58000[35000–100000],58000,35000,100000,Africa
Myanmar,2000,5800[4600–6800],5800,4600,6800,South-East Asia
Bangladesh,2018,580[500–680],580,500,680,South-East Asia
Malawi,2000,57000[49000–65000],57000,49000,65000,Africa
Togo,2010,5700[5100–6300],5700,5100,6300,Africa
Rwanda,2010,5700[4700–7100],5700,4700,7100,Africa
Republic of Moldova,2018,570[500–860],570,500,860,Europe
Uganda,2010,56000[48000–66000],56000,48000,66000,Africa
Kenya,2010,56000[41000–86000],56000,41000,86000,Africa
Togo,2000,5600[5000–6300],5600,5000,6300,Africa
Chad,2000,5600[3800–7700],5600,3800,7700,Africa
Morocco,2010,550[500–840],550,500,840,Eastern Mediterranean
Thailand,2000,54000[45000–62000],54000,45000,62000,South-East Asia
Zimbabwe,2010,54000[43000–68000],54000,43000,68000,Africa
Mozambique,2018,54000[39000–73000],54000,39000,73000,Africa
Nigeria,2018,53000[31000–89000],53000,31000,89000,Africa
Mali,2010,5300[4100–6700],5300,4100,6700,Africa
Burundi,2010,5200[4100–6400],5200,4100,6400,Africa
Peru,2000,5100[3800–7000],5100,3800,7000,Americas
South Sudan,2000,5100[2600–7500],5100,2600,7500,Africa
Eswatini,2000,5000[4000–6100],5000,4000,6100,Africa
Guinea,2000,5000[3400–7000],5000,3400,7000,Africa
Eritrea,2018,500[500–890],500,500,890,Africa
El Salvador,2010,500[500–730],500,500,730,Americas
Germany,2010,500[500–720],500,500,720,Europe
Djibouti,2000,500[500–690],500,500,690,Eastern Mediterranean
Mauritius,2010,500[500–680],500,500,680,Africa
Morocco,2000,500[500–680],500,500,680,Eastern Mediterranean
Germany,2018,500[500–670],500,500,670,Europe
Gambia,2000,500[500–620],500,500,620,Africa
Morocco,2018,500[500–600],500,500,600,Eastern Mediterranean
Cuba,2018,500[500–580],500,500,580,Americas
Panama,2010,500[500–570],500,500,570,Americas
Tajikistan,2010,500[500–560],500,500,560,Europe
Djibouti,2018,500[500–550],500,500,550,Eastern Mediterranean
France,2018,500[500–540],500,500,540,Europe
Kazakhstan,2018,500[500–530],500,500,530,Europe
Panama,2018,500[500–530],500,500,530,Americas
Egypt,2018,500[500–500],500,500,500,Eastern Mediterranean
Lao People's Democratic Republic,2018,500[500–500],500,500,500,Western Pacific
Portugal,2018,500[500–500],500,500,500,Europe
Tajikistan,2018,500[500–500],500,500,500,Europe
Bangladesh,2010,500[500–500],500,500,500,South-East Asia
Kazakhstan,2010,500[500–500],500,500,500,Europe
Lao People's Democratic Republic,2010,500[500–500],500,500,500,Western Pacific
Mauritania,2010,500[500–500],500,500,500,Africa
Bahamas,2000,500[500–500],500,500,500,Americas
Costa Rica,2000,500[500–500],500,500,500,Americas
Nepal,2000,500[500–500],500,500,500,South-East Asia
Panama,2000,500[500–500],500,500,500,Americas
Republic of Moldova,2000,500[500–500],500,500,500,Europe
Romania,2000,500[500–500],500,500,500,Europe
Iran (Islamic Republic of),2000,500[500–1400],500,500,1400,Eastern Mediterranean
Madagascar,2000,500[200–930],500,200,930,Africa
Paraguay,2000,500[200–920],500,200,920,Americas
Afghanistan,2018,500[200–610],500,200,610,Eastern Mediterranean
Yemen,2018,500[200–520],500,200,520,Eastern Mediterranean
Belarus,2018,500[200–500],500,200,500,Europe
Costa Rica,2018,500[200–500],500,200,500,Americas
Georgia,2018,500[200–500],500,200,500,Europe
Mauritania,2018,500[200–500],500,200,500,Africa
Afghanistan,2010,500[200–500],500,200,500,Eastern Mediterranean
Australia,2010,500[200–500],500,200,500,Western Pacific
Costa Rica,2010,500[200–500],500,200,500,Americas
Cuba,2010,500[200–500],500,200,500,Americas
Nicaragua,2010,500[200–500],500,200,500,Americas
Philippines,2010,500[200–500],500,200,500,Western Pacific
Sri Lanka,2010,500[200–500],500,200,500,South-East Asia
Uruguay,2010,500[200–500],500,200,500,Americas
Australia,2000,500[200–500],500,200,500,Western Pacific
Mauritania,2000,500[200–500],500,200,500,Africa
Uruguay,2000,500[100–500],500,100,500,Americas
Haiti,2010,4900[3800–6600],4900,3800,6600,Americas
United Republic of Tanzania,2010,48000[42000–53000],48000,42000,53000,Africa
Botswana,2018,4800[4100–5700],4800,4100,5700,Africa
Central African Republic,2018,4800[3700–6400],4800,3700,6400,Africa
Burkina Faso,2010,4800[3600–6300],4800,3600,6300,Africa
Angola,2000,4800[3500–6400],4800,3500,6400,Africa
Dominican Republic,2000,4800[3100–7100],4800,3100,7100,Americas
Viet Nam,2018,4700[3200–6200],4700,3200,6200,Western Pacific
Cambodia,2000,4500[3200–5800],4500,3200,5800,Western Pacific
Ukraine,2000,4500[3100–6200],4500,3100,6200,Europe
Côte d'Ivoire,2000,44000[32000–63000],44000,32000,63000,Africa
Democratic Republic of the Congo,2000,43000[35000–49000],43000,35000,49000,Africa
Guinea,2018,4300[3300–5400],4300,3300,5400,Africa
Guinea,2010,4100[3300–5000],4100,3300,5000,Africa
Mozambique,2000,40000[29000–54000],40000,29000,54000,Africa
Congo,2018,4000[2800–5400],4000,2800,5400,Americas
Congo,2010,3900[3100–4800],3900,3100,4800,Americas
Indonesia,2018,38000[33000–43000],38000,33000,43000,South-East Asia
Eswatini,2010,3800[3400–4200],3800,3400,4200,Africa
Togo,2018,3800[3300–4200],3800,3300,4200,Africa
Namibia,2010,3500[3000–3900],3500,3000,3900,Africa
Chad,2010,3500[2600–4800],3500,2600,4800,Africa
Democratic Republic of the Congo,2010,34000[27000–40000],34000,27000,40000,Africa
Burkina Faso,2018,3300[2400–4400],3300,2400,4400,Africa
Honduras,2000,3200[2300–4000],3200,2300,4000,Americas
Chad,2018,3100[2000–4500],3100,2000,4500,Africa
Liberia,2000,3000[2600–3400],3000,2600,3400,Africa
Dominican Republic,2010,3000[2100–4300],3000,2100,4300,Americas
Malawi,2010,29000[25000–33000],29000,25000,33000,Africa
Sierra Leone,2010,2900[2400–3600],2900,2400,3600,Africa
Rwanda,2018,2900[2400–3500],2900,2400,3500,Africa
Malaysia,2010,2900[2400–3300],2900,2400,3300,Western Pacific
Sudan,2018,2900[1400–5200],2900,1400,5200,Eastern Mediterranean
Thailand,2010,27000[19000–36000],27000,19000,36000,South-East Asia
Liberia,2010,2700[2600–2900],2700,2600,2900,Africa
Namibia,2018,2700[2300–3200],2700,2300,3200,Africa
Haiti,2018,2700[2200–3600],2700,2200,3600,Americas
Malaysia,2000,2700[2200–3200],2700,2200,3200,Western Pacific
Zambia,2010,26000[21000–35000],26000,21000,35000,Africa
Malaysia,2018,2600[2100–3300],2600,2100,3300,Western Pacific
Iran (Islamic Republic of),2018,2600[1400–5100],2600,1400,5100,Eastern Mediterranean
Kenya,2018,25000[18000–38000],25000,18000,38000,Africa
Cambodia,2010,2500[1900–3400],2500,1900,3400,Western Pacific
United Republic of Tanzania,2018,24000[20000–29000],24000,20000,29000,Africa
Indonesia,2010,24000[19000–28000],24000,19000,28000,South-East Asia
Côte d'Ivoire,2010,24000[17000–34000],24000,17000,34000,Africa
Eswatini,2018,2400[2000–2900],2400,2000,2900,Africa
Guatemala,2000,2400[2000–2700],2400,2000,2700,Americas
Jamaica,2000,2400[1900–3100],2400,1900,3100,Americas
Iran (Islamic Republic of),2010,2400[1700–3500],2400,1700,3500,Eastern Mediterranean
Sierra Leone,2000,2400[1600–3300],2400,1600,3300,Africa
Benin,2000,2400[1200–4900],2400,1200,4900,Africa
Uganda,2018,23000[19000–31000],23000,19000,31000,Africa
Niger,2000,2300[1700–3000],2300,1700,3000,Africa
Cameroon,2010,22000[19000–25000],22000,19000,25000,Africa
Zimbabwe,2018,22000[17000–27000],22000,17000,27000,Africa
Guatemala,2018,2200[2000–2400],2200,2000,2400,Americas
Benin,2018,2200[1100–4400],2200,1100,4400,Africa
Sierra Leone,2018,2100[1600–2800],2100,1600,2800,Africa
Peru,2010,2100[1400–3300],2100,1400,3300,Americas
Ethiopia,2010,20000[12000–35000],20000,12000,35000,Africa
Benin,2010,2000[980–4100],2000,980,4100,Africa
Australia,2018,200[200–500],200,200,500,Western Pacific
Bahamas,2018,200[200–500],200,200,500,Americas
Belize,2018,200[200–500],200,200,500,Americas
Kyrgyzstan,2018,200[200–500],200,200,500,Europe
Nicaragua,2018,200[200–500],200,200,500,Americas
Sri Lanka,2018,200[200–500],200,200,500,South-East Asia
Bahamas,2010,200[200–500],200,200,500,Americas
Egypt,2010,200[200–500],200,200,500,Eastern Mediterranean
Netherlands,2010,200[200–500],200,200,500,Europe
Cuba,2000,200[200–500],200,200,500,Americas
Algeria,2018,200[200–200],200,200,200,Africa
Libya,2018,200[200–200],200,200,200,Eastern Mediterranean
Armenia,2010,200[200–200],200,200,200,Europe
Estonia,2010,200[200–200],200,200,200,Europe
Latvia,2010,200[200–200],200,200,200,Europe
Netherlands,2000,200[200–200],200,200,200,Europe
Uruguay,2018,200[100–500],200,100,500,Americas
Belarus,2010,200[100–500],200,100,500,Europe
Suriname,2010,200[100–500],200,100,500,Americas
Yemen,2010,200[100–500],200,100,500,Eastern Mediterranean
Suriname,2000,200[100–500],200,100,500,Americas
Armenia,2018,200[100–200],200,100,200,Europe
Guyana,2018,200[100–200],200,100,200,Americas
Romania,2018,200[100–200],200,100,200,Europe
Algeria,2010,200[100–200],200,100,200,Africa
Belize,2010,200[100–200],200,100,200,Americas
Kyrgyzstan,2010,200[100–200],200,100,200,Europe
Romania,2010,200[100–200],200,100,200,Europe
Cabo Verde,2000,200[100–200],200,100,200,Africa
Serbia,2000,200[100–200],200,100,200,Europe
Cameroon,2000,19000[15000–24000],19000,15000,24000,Africa
Guinea-Bissau,2010,1900[1500–2200],1900,1500,2200,Africa
